monster_name,cr
giant space hamster,0.25
giant spider,1.0
giant strider,1.0
giant subterranean lizard,4.0
giant swan,1.0
giant tick,2.0
giant toad,1.0
giant vulture,1.0
giant walrus,4.0
giant wasp,0.5
giant weasel,0.125
giant whirlwyrm,11.0
giant white moray eel,2.0
giant wolf spider,0.25
giant zombie constrictor snake,8.0
gibbering mouther,2.0
gibberling,0.25
gideon lightward,6.0
giff,3.0
giff shipmate,3.0
giff shock trooper,6.0
giff warlord,10.0
gigant,20.0
gildha duhn,0.25
gingerbrute,0.5
gingwatzim,2.0
girallon,4.0
girallon zombie,3.0
gisela,16.0
"gishath, sun's avatar",10.0
githyanki buccaneer,3.0
githyanki gish,10.0
githyanki kith'rak,12.0
githyanki knight,8.0
githyanki star seer,7.0
githyanki supreme commander,14.0
githyanki warrior,3.0
githyanki xenomancer,9.0
githzerai anarch,16.0
githzerai enlightened,10.0
githzerai futurist,9.0
githzerai monk,2.0
githzerai traveler,3.0
githzerai uniter,7.0
githzerai zerth,6.0
glabbagool,2.0
glabrezu,9.0
gladiator,5.0
glass pegasus,2.0
glasswork golem,2.0
glasya,25.0
gloam,0.0
gloamwing,8.0
gloine nathair-nathair,6.0
gloom weaver,9.0
gloomstalker,6.0
gluttony seraph,14.0
glyster,15.0
gnarlid,1.0
gnoll,0.5
gnoll brute,2.0
gnoll fang of yeenoghu,4.0
gnoll flesh gnawer,1.0
gnoll hunter,0.5
gnoll pack lord,2.0
gnoll vampire,8.0
gnoll witherling,0.25
gnome ceremorph,5.0
gnome squidling,0.5
goat,0.0
goat-knight steed,0.5
goblin,0.25
goblin boss,1.0
goblin boss archer,1.0
goblin commoner,0.0
goblin gang member,0.25
goblin psi brawler,2.0
goblin psi commander,4.0
gold dragon wyrmling,3.0
gold greatwyrm,28.0
gold-forged sentinel,5.0
golden stag,0.25
golgari shaman,5.0
goliath giant-kin,3.0
goliath warrior,3.0
goliath werebear,8.0
gomazoa,5.0
gondolo,0.5
goon,0.125
goon balloon,0.125
goose mother,7.0
gorgon,5.0
goristro,17.0
gorka tharn,15.0
gorthok the thunder boar,6.0
gorvan ironheart,2.0
gorzil's gang troglodyte,0.25
grabstab,1.0
grandfather oak,9.0
grandfather zitembe,2.0
grandlejaw,8.0
grandolpha muzgardt,2.0
gray ooze,0.5
gray render,12.0
gray scavver,0.25
gray slaad,9.0
graz'zt,24.0
grazilaxx,7.0
great cat,2.0
great chief halric bonesnapper,2.0
"great kroom, purple worm",15.0
great ulfe,2.0
greater death dragon,14.0
greater shadow horror,12.0
greater star spawn emissary,21.0
greater tyrant shadow,22.0
greater zombie,5.0
green abishai,15.0
green dragon wyrmling,2.0
green greatwyrm,27.0
green guard drake,2.0
green hag,3.0
green slaad,8.0
gregir fendelsohn (levels 1-4),0.125
gregir fendelsohn (levels 5-8),0.5
gregir fendelsohn (levels 9-11),3.0
grell,3.0
grell psychic,4.0
gremishka,0.125
gremlin,0.5
gremorly's ghost,9.0
grenl,0.25
grick,2.0
grick alpha,7.0
griffin,2.0
griffin (type 1),2.0
griffin (type 2),1.0
griffon,2.0
griffon cavalry rider,2.0
grim champion of bloodshed,20.0
grim champion of desolation,25.0
grim champion of pestilence,15.0
grimlock,0.25
grimzod gargenhale,6.0
grinda garloth,6.0
grinning cat,1.0
grippli warrior,0.25
grisha,2.0
groff,4.0
grog strongjaw,18.0
grum'shar,0.25
grumink the renegade,8.0
grung,0.25
grung elite warrior,2.0
grung wildling,1.0
grunka,0.5
grutha,5.0
gryz alakritos,5.0
guard,0.125
guard drake,2.0
guardian giant,8.0
guardian naga,10.0
guardian portrait,1.0
guardian wolf,4.0
gundren rockseeker,0.0
gunvald halraggson,5.0
guthash,0.25
gwyn oresong,0.25
gynosphinx,11.0
hadozee explorer,2.0
hadozee shipmate,0.125
hadozee warrior,0.5
hadrosaur,0.25
hadrosaurus,0.25
hag of the fetid gaze,3.0
haint,7.0
halaster blackcloak,23.0
halaster horror,4.0
halaster puppet,
half-blue dragon gladiator,5.0
half-green dragon assassin,8.0
half-ogre (ogrillon),1.0
half-red dragon gladiator,5.0
half-red dragon veteran,5.0
halog,7.0
hamadryad,2.0
hamish hewland,5.0
hammerskull,0.5
hands of havoc fire starter,4.0
hangry otyugh,5.0
hanne hallen,0.25
hare,0.0
harengon brigand,0.125
harengon sniper,0.25
harkina hunt,0.0
harmonium captain,8.0
harmonium peacekeeper,3.0
harpy,1.0
harpy matriarch,5.0
harrow hawk,1.0
harrow hound,3.0
harshnag,9.0
harvester of lies,9.0
hashalaq quori,9.0
hashutu,11.0
hastain,8.0
haungharassk,0.0
hawk,0.0
headless body,3.0
headless iron golem,10.0
heartstabber mosquito,0.125
hedrun arnsfirth,3.0
helga ruvak,5.0
hell hound,3.0
hellcat (bezekira),10.0
hellenhild,8.0
hellenrae,5.0
hellfire engine,16.0
hellion,11.0
hellion (huge),11.0
hellion (large),5.0
hellwasp,5.0
hellwasp grub,0.25
helmed horror,4.0
helmed horror detention drone,4.0
hengar aesnvaard,5.0
henrik van der voort,0.0
heralds of dust exorcist,6.0
heralds of dust remnant,4.0
hester barch,0.25
hew hackinstone,2.0
hexton modron,13.0
hezrou,8.0
hierophant medusa,17.0
hierophant of the comet,11.0
high fae impostor,11.0
high fae kindguard,12.0
high fae mage,12.0
high fae noble,13.0
hill giant,5.0
hill giant avalancher,12.0
hill giant sergeant,5.0
hill giant servant,2.0
hill giant subchief,7.0
"hill giant, blorbo",4.0
hippocamp,0.5
hippogriff,1.0
hippopotamus,4.0
hjoldak hollowhelm,7.0
hlam,16.0
hoard mimic,8.0
hoard scarab,0.125
hobgoblin,0.5
hobgoblin captain,3.0
hobgoblin devastator,4.0
hobgoblin iron shadow,2.0
hobgoblin warlord,6.0
holga kilgore,5.0
hollow dragon,18.0
hollyphant,5.0
homarid,1.0
homunculus,0.0
homunculus servant,
honna,6.0
hook horror,3.0
hook horror spore servant,3.0
horizonback tortoise,8.0
horncaller,1.0
horned devil,11.0
horned frog,0.25
horned sister,6.0
horror flit hunter,2.0
host of herons angel,10.0
hound archon,4.0
hourglass widow,20.0
howler,8.0
howling hatred initiate,0.125
howling hatred priest,2.0
hrabbaz,5.0
hraptnon,18.0
hrigg roundrook,
huge giant crab,8.0
huge gray ooze,8.0
huge ochre jelly,2.0
huge polar bear,2.0
huge stone golem,10.0
hulgaz,14.0
hulil lutan,2.0
hulking crab,5.0
hulking shadow,9.0
humanoid mutate,4.0
hundred-handed one,15.0
hungry sorrowsworn,11.0
hunter shark,2.0
hurda,5.0
hurricane,2.0
husk zombie,1.0
hutijin,21.0
hybrid brute,2.0
hybrid flier,2.0
hybrid poisoner,1.0
hybrid shocker,1.0
hybrid spy,0.5
hydia moonmusk,5.0
hydra,8.0
hydroloth,9.0
hyena,0.0
hypnos magen,1.0
hythonia,17.0
"iarno ""glasstaff"" albrek",1.0
ice devil,14.0
ice mephit,0.5
ice piercer,0.5
ice spider,1.0
ice spider queen,2.0
ice toad,1.0
ice troll,8.0
icewind kobold,0.125
icewind kobold zombie,0.125
ifan talro'a,0.125
iggwilv the witch queen,20.0
ignatius inkblot,7.0
ignia,10.0
illithilich,22.0
illusionist,3.0
illusionist wizard,3.0
ilvara mizzrym,8.0
imelda,2.0
imix,19.0
immortal lotus monk,5.0
imoen,8.0
imp,1.0
imperator uthor,13.0
incomplete dragon skeleton,4.0
incubus,4.0
indentured spirit,1.0
infant basilisk,0.0
infant hook horror,0.0
infected elder brain,11.0
infected townsperson,2.0
infernal tormentor,6.0
initiate of the comet,4.0
inkling mascot,0.25
inquisitor of the mind fire,8.0
inquisitor of the sword,8.0
inquisitor of the tome,8.0
insight acuere,5.0
inspired,2.0
intellect devourer,2.0
intellect snare,8.0
intelligent black pudding,4.0
invisible stalker,6.0
iona,21.0
irda seeker,1.0
irda veil keeper,4.0
ireena kolyana,0.125
iriad,
irisoth,0.0
iron cobra,4.0
iron consul,2.0
iron defender,1.0
iron golem,16.0
iron spider,
ironscale hydra,12.0
irvan wastewalker (tier 1),3.0
irvan wastewalker (tier 2),5.0
irvan wastewalker (tier 3),8.0
isarr kronenstrom,8.0
isendraug,13.0
ishel,0.5
ishvern,0.5
iskander,6.0
ismark kolyanovich,3.0
isolde,5.0
isperia,21.0
istarian drone,6.0
istrid horn,8.0
ithjar,5.0
ixitxachitl,0.25
ixitxachitl cleric,0.25
iymrith,23.0
izek strazni,5.0
jabberwock,13.0
jackal,0.0
jackalwere,0.5
jaculi,0.5
jade giant spider,10.0
jade statue,10.0
jade tigress,8.0
jaheira,13.0
jalester silvermane,4.0
jalynvyr nir'thinn,0.25
james cryon,5.0
jamil a'alithiya,10.0
jammer leech,1.0
jamna gleamsilver,1.0
jandar chergoba,2.0
jarad vod savo,22.0
jarazoun,11.0
jarl grugnur,9.0
jarl storvald,8.0
jarlaxle baenre,15.0
jarund elkhardt,5.0
jasper dimmerchasm,3.0
jelayne,0.25
jenevere,17.0
jenks,
jermlaine,0.125
jessamine,8.0
jeyev veldrews,2.0
jiangshi,9.0
jijibisha manivarshi,13.0
jim darkmagic,5.0
jimjar,1.0
jingle jangle,0.25
jobal,0.5
jon irenicus,22.0
josbert plum,3.0
joster mareet,4.0
jot,1.0
"jourrael, the caedogeist",15.0
juiblex,23.0
junior drow priestess of lolth,2.0
juvenile eldritch horror,11.0
juvenile hook horror,2.0
juvenile kraken,14.0
juvenile mimic,0.0
k'thriss drow'b,3.0
k'tulah,2.0
kaaltar,0.0
kaarghaz,2.0
kadroth,2.0
kaevja cynavern,6.0
kagain,11.0
kal the crisp,4.0
kala mabarin,2.0
kalain,2.0
kalaman soldier,0.5
kalaraq quori,19.0
kalashtar,0.25
kalka-kylla,3.0
kamadan,4.0
kansaldi fire-eyes,11.0
kapak draconian,3.0
karavarix,14.0
"karkethzerethzerus, the sable despoiler",23.0
karrnathi undead soldier,3.0
kasem aroon,0.125
kasimir velikov,6.0
kavil,6.0
kavoda,0.5
kavu predator,2.0
kedjou kamal,2.0
keeper of the feather,2.0
keg robot,2.0
kelek,5.0
kella darkhope,1.0
kellikilli,3.0
kelpie,4.0
kelson darktreader,0.0
kelubar demodand,13.0
kender skirmisher,0.25
kenku,0.25
keresta delvingstone,13.0
kettlesteam the kenku,1.0
"keyleth, voice of the tempest",18.0
khalessa draga,1.0
khargra,0.125
khaspere drylund,0.125
ki-rin,12.0
kianna,0.0
kiddywidget,0.5
kieren,0.0
killer whale,3.0
killmoulis,0.0
kindori,7.0
king hekaton,13.0
king jhaeros,9.0
king of feathers,8.0
king robbit the slimy,2.0
king snurre,11.0
kingsport,0.0
kinyel druu'giir,8.0
kiril stoyanovich,3.0
kivan,7.0
klauth,25.0
knifewing,0.125
knight,3.0
knight of eldraine,3.0
knight of the black sword,2.0
knight of the mithral shield,3.0
knight of the order,5.0
knucklehead trout,0.0
koalinth,0.5
koalinth sergeant,2.0
kobold,0.125
kobold commoner,0.0
kobold dragonshield,1.0
kobold elite,0.125
kobold inventor,0.25
kobold scale sorcerer,1.0
kobold tinkerer,0.25
kobold underling,0.125
kobold vampire spawn,3.0
koh tam,10.0
koi prawn,0.5
kol'daan,0.25
kolyarut,20.0
kopoha,23.0
koris,8.0
korred,7.0
kostchtchie,25.0
kozilek,23.0
kraghammer goat-knight,3.0
kraken,23.0
kraken priest,5.0
kraul death priest,4.0
kraul warrior,0.5
krebbyg masq'il'yr,4.0
krell grohlg,2.0
krenko,1.0
krull,6.0
kruthik hive lord,5.0
kun ahn-jun,0.125
kuo-toa,0.25
kuo-toa archpriest,6.0
kuo-toa monitor,3.0
kuo-toa whip,1.0
kupalué,0.25
kurr,4.0
kusa xungoon,0.125
kwayothé,2.0
"kyrilla, accursed gorgon",10.0
kysh,1.0
lacedon,1.0
lady dre,0.5
lady fiona wachter,2.0
lady gondafrey,2.0
lady illmarrow,22.0
lady lydia petrovna,0.0
laeral silverhand,17.0
lahnis,9.0
"laiba ""nana"" rosse",2.0
laleh ghorbani,0.5
lamai tyenmo,0.0
lamia,4.0
lampad,3.0
langdedrosa cyanwrath,4.0
lantern archon,2.0
large drake,1.0
large mimic,2.0
larva,0.0
laskilar,2.0
laurin ophidas,2.0
lava child,3.0
lawmage,6.0
lazav,17.0
leedara,4.0
left hand of manshoon,12.0
lemure,0.0
lenchtahg,5.0
leonin iconoclast,5.0
leosin erlanthar,3.0
lesser avarice seraph,7.0
lesser death dragon,10.0
lesser gluttony seraph,7.0
lesser mummy lord,15.0
lesser star spawn emissary,19.0
lesser tyrant shadow,10.0
leucrotta,3.0
leviathan,20.0
levistus,26.0
levna drakehorn,
lhammaruntosz,16.0
liara portyr,4.0
lich,21.0
lich troll,14.0
lichen lich,18.0
lief lipsiege,0.0
lifecraft elephant,4.0
lifferlas,
light devourer,6.0
lightning golem,5.0
lightning hulk,9.0
linan swift,0.0
lindwyrm,14.0
linvala,16.0
lion,1.0
liondrake,7.0
living bigby's hand,4.0
living blade of disaster,8.0
living burning hands,1.0
living cloudkill,7.0
living demiplane,0.0
living doll,2.0
living iron statue,5.0
living lightning bolt,5.0
living portent,3.0
living unseen servant,0.0
lizard,0.0
lizard king,4.0
lizard queen,4.0
lizardfolk,0.5
lizardfolk commoner,0.25
lizardfolk render,3.0
lizardfolk scaleshield,1.0
lizardfolk shaman,2.0
lizardfolk subchief,3.0
loading rig,1.0
locathah,0.5
locathah hunter,2.0
lohezet,12.0
lonely sorrowsworn,9.0
lonelywood banshee,4.0
lord soth,19.0
lords' alliance guard,0.25
lords' alliance spy,1.0
lorehold apprentice,2.0
lorehold pledgemage,4.0
lorehold professor of chaos,7.0
lorehold professor of order,7.0
lorry wanwillow,13.0
lorthuun,9.0
losser mirklav,6.0
lost sorrowsworn,7.0
lothar,9.0
loup garou,13.0
lowarnizel,9.0
lu zhong yin,1.0
ludmilla vilisevic,5.0
lulu,5.0
lumalia,10.0
lunar dragon wyrmling,2.0
lungtian,1.0
lupilisk,3.0
lupilisk elder,6.0
lupilisk whelp,1.0
luvash,2.0
lynx creatlach,5.0
lyra,16.0
"lyzandra ""lyzzie"" calderos",6.0
macaw,0.0
maccath the crimson,6.0
mad golem,12.0
mad maggie,5.0
mad mary,0.0
madam eva,10.0
madam kulp,0.125
maddgoth's homunculus,2.0
maegera the dawn titan,23.0
maegla tarnlar,0.0
maelephant,10.0
maelephant nomad,14.0
mage,6.0
mage hunter,5.0
mage hunter golem,15.0
magewright,0.0
maggie keeneyes (tier 1),3.0
maggie keeneyes (tier 2),5.0
maggie keeneyes (tier 3),8.0
magister umbero zastro,0.0
magma landshark,14.0
magma mephit,0.5
magmin,0.5
magnifico,0.5
mahadi the rakshasa,14.0
majesto,1.0
malaxxix,18.0
male steeder,0.25
malformed kraken,10.0
malikirian imp,1.0
malinia,4.0
malivar,6.0
mammon,26.0
mammoth,6.0
manafret cherryport,6.0
manes,0.125
manshoon,13.0
manshoon simulacrum,8.0
manticore,3.0
"manticore, heart-piercer",5.0
mantrap,1.0
marfulb,1.0
marid,11.0
marilith,16.0
marisa,4.0
markham southwell,
markos delphi,3.0
marlos urnrayle,8.0
marta moonshadow,6.0
martial arts adept,3.0
marut,25.0
mary greymalkin,2.0
marzena belview,0.25
master adranach,21.0
master of cruelties,9.0
master of souls,4.0
master refrum,2.0
master sage,5.0
master thief,5.0
mastiff,0.125
"mattrim ""threestrings"" mereg",2.0
maude,3.0
maurezhi,7.0
maw demon,1.0
maw of sekolah,7.0
maw of yeenoghu,10.0
maxeene,0.25
meazel,1.0
mechachimera,6.0
mechanical bird,
medusa,6.0
meenlock,2.0
meera raheer,0.0
megapede,11.0
melannor fellbranch,2.0
meletian hoplite,3.0
melissara shadowdusk,12.0
meloon wardragon,9.0
mend-nets,0.125
mennek ariz,5.0
mephistopheles,27.0
mercane,5.0
mercenary envoy,1.0
mercion,3.0
mercykiller bloodhound,7.0
merfolk,0.125
merfolk salvager,1.0
merfolk scout,0.5
meri,4.0
merregon,4.0
merrenoloth,3.0
merrow,2.0
merrow extortionist,1.0
merrow shallowpriest,4.0
metal wasp,0.5
metallic peacekeeper,4.0
metallic warbler,0.25
mev flintknapper,3.0
mezzoloth,5.0
miasmorne,16.0
mighty servant of leuk-o,
miirym,22.0
milivoj,0.0
mimic,2.0
mimic chair,2.0
mind drinker vampire,4.0
mind flayer,7.0
mind flayer arcanist,8.0
mind flayer clairvoyant,11.0
mind flayer nothic,2.0
mind flayer prophet,8.0
mind flayer psion,8.0
mind mage,5.0
mind's eye matter smith,4.0
mindwitness,5.0
minotaur,3.0
minotaur archaeologist,0.25
minotaur infiltrator,2.0
minotaur living crystal statue,6.0
minotaur skeleton,2.0
minsc and boo!,10.0
miraj vizann,6.0
miros xelbrin,
mirran,13.0
mirt,9.0
mishka belview,0.25
mist hulk,6.0
mister light,3.0
mister threadneedle,1.0
mister witch,3.0
mite,0.25
mjenir,2.0
mjork,3.0
mjork asher,6.0
mjork burner,6.0
mjork charger,7.0
mjork sootling,0.25
mjork sootling swarm,2.0
mobar,2.0
modron planar incarnate,22.0
moghadam,12.0
mold spider,0.0
molliver,3.0
moloch,21.0
molten magma roper,5.0
molydeus,21.0
monastery of the distressed body grand master,9.0
monastery of the distressed body monk,0.125
monastic high curator,10.0
monastic infiltrator,6.0
monastic operative,5.0
mongrelfolk,0.25
monodrone,0.125
monstrous peryton,11.0
montaron and the laughing skull,11.0
moonshark,5.0
moonstone dragon wyrmling,2.0
moorbounder,1.0
morak ur'gray,0.0
morbus kobold,0.125
mordakhesh,15.0
morgantha,5.0
morkoth,11.0
mormesk the wraith,5.0
morte,0.25
mortlock vanthampur,3.0
morwena veilmist,5.0
mossback steward,8.0
mountain goat,0.125
mouth of grolantor,6.0
mr. dory,10.0
mr. greystone,5.0
mr. honeycutt,2.0
mud hulk,3.0
mud mephit,0.25
muiral,13.0
mule,0.125
mummy,3.0
mummy lord,15.0
murder comet,5.0
murgaxor,9.0
musharib,1.0
musteval guardinal,2.0
mwaxanaré,0.125
myconid adult,0.5
myconid sovereign,2.0
myconid sprout,0.0
myla,0.25
myx nargis ruba,0.125
môrgæn,4.0
na,0.0
nabassu,15.0
naergoth bladelord,11.0
naes inuus,13.0
naevys tharesso,3.0
nagpa,17.0
nahual,3.0
naiad,2.0
nalfeshnee,13.0
nanny pu'pu,3.0
nar'l xibrindas,7.0
narbeck horn,3.0
narrak,2.0
narth tezrin,
narzugon,13.0
nass lantomir's ghost,6.0
nat,
nauk,9.0
navid,11.0
naxene drathkala,
necrichor,7.0
necro-alchemist,6.0
necromancer,9.0
necromancer wizard,9.0
necromite of myrkul,0.5
necrotic centipede,11.0
nedylene,8.0
needle blight,0.25
needle lord,3.0
needle spawn,0.5
neh-thalggu,4.0
nellik,9.0
nene,0.0
neo-otyugh,7.0
neogi,3.0
neogi hatchling,0.125
neogi hatchling swarm,3.0
neogi master,4.0
neogi pirate,3.0
neogi void hunter,4.0
neothelid,13.0
nepartak,4.0
nereid,2.0
nergaliid,3.0
neronvain,9.0
nerozar the defeated,5.0
nester,12.0
nevermind gnome inventor,2.0
nevermind gnome mastermind,5.0
nezznar the black spider,2.0
nezznar the spider,2.0
night blade,0.25
night hag,5.0
night scavver,5.0
nightmare,3.0
nightmare beast,16.0
nightmare haunt,5.0
nightmare shepherd,11.0
nightsea chil-liren,0.125
nightveil specter,10.0
nightwalker,20.0
nihiloor,7.0
nikolai wachter,0.125
nilbog,1.0
niles breakbone,0.125
nimblewright,4.0
nimir,13.0
nimira,3.0
nimuel,6.0
nine-fingers keene,5.0
nintra siotta,16.0
niv-mizzet,26.0
nivix cyclops,8.0
nixylanna vidorant,8.0
noble,0.125
nonaton modron,10.0
noori,2.0
norker,0.5
norker war leader,3.0
nosferatu,8.0
noska ur'gray,0.5
nothic,2.0
nundro rockseeker,0.0
nupperibo,0.5
"nurvureem, the dark lady",14.0
nycaloth,9.0
nym,13.0
nythalyn henlifel,5.0
nyx-fleece ram,1.0
oak truestrike,2.0
oaken bolter,5.0
obaya uday,2.0
oblex spawn,0.25
obliteros,5.0
oblivion brute,5.0
oblivion juggernaut,8.0
oblivion leaper,1.0
oblivion whistler,2.0
obmi,8.0
obzedat ghost,8.0
occult extollant,6.0
occult initiate,2.0
occult silvertongue,8.0
oceanus,0.5
ochre jelly,2.0
octon modron,11.0
octopus,0.0
oculorb,9.0
oddlewin,2.0
ogre,2.0
ogre battering ram,4.0
ogre bolt launcher,2.0
ogre chain brute,3.0
ogre channeler,7.0
ogre chitterlord,3.0
ogre goblin hucker,2.0
ogre howdah,2.0
ogre lord buhfal ii,2.0
ogre skeleton,2.0
ogre zombie,2.0
ogrémoch,20.0
oinoloth,12.0
olara,0.5
old croaker,1.0
old troglodyte,0.125
olhydra,18.0
ollin,2.0
omin dran,5.0
one-eyed shiver,3.0
oneirovore,11.0
oni,7.0
ontharr frume,9.0
ontharyx,4.0
onyx,0.0
ooze master,10.0
ooze-folk,0.5
oozing vulture,2.0
ophelia,4.0
oracle,4.0
oracle of strixhaven,15.0
oracs the enduring,21.0
orc,0.5
orc blade of ilneval,4.0
orc claw of luthic,2.0
orc commoner,0.0
orc eye of gruumsh,2.0
orc hand of yurtrus,2.0
orc nurtured one of yurtrus,0.5
orc red fang of shargaas,3.0
orc war chief,4.0
orcus,26.0
ordeal tree,12.0
oread,4.0
oreioth,2.0
oren yogilvy,
oriq blood mage,9.0
oriq recruiter,4.0
orlekto,13.0
orog,2.0
orok,0.125
orond gralhund,0.125
orthon,10.0
ortimay swift and dark,2.0
orvex ocrammas,1.0
orzhov giant,6.0
oshundo the alhoon,10.0
osvaldo cassalanter,8.0
otherworldly corrupter,17.0
othokent,4.0
othovir,
ott steeltoes,0.125
otto,3.0
otto belview,0.25
otyugh,5.0
otyugh mutate,6.0
ougalop,0.25
oussa,3.0
owl,0.0
owlbear,3.0
ox,0.25
oxen,0.5
padraich,2.0
pain devil (excruciarch),12.0
paloma,8.0
panjaian ilharan,3.0
panopticus wizard,0.25
panther,0.25
paolo maykapal,3.0
paper bird,0.0
paper whirlwind,0.25
parasite-infested behir,11.0
pari,13.0
parriwimple,5.0
parrot,0.0
parson pellinost,2.0
parvaz,1.0
patrina velikovna,12.0
pazrodine,21.0
pazuzu,25.0
peacock,0.0
peebles,1.0
pegasus,2.0
pelyious avhoste,9.0
pendragon beestinger,2.0
pentadrone,2.0
percival de rolo,18.0
perigee,10.0
peryton,2.0
pest mascot,0.25
pestilence demon,6.0
phaerimm,15.0
phaia,9.0
phantom warrior,3.0
phantom warrior (archer),3.0
pharblex spattergoo,3.0
phase spider,3.0
phoenix,16.0
phoenix anvil,2.0
phylaskia,9.0
piccolo,0.0
pidlwick ii,0.25
piercer,0.5
pig,0.0
pike trickfoot,17.0
piranha,0.0
pirate bosun,0.5
pirate captain,2.0
pirate deck wizard,1.0
pirate first mate,1.0
pit fiend,20.0
pixie,0.25
plainscow,2.0
planar incarnate,22.0
planetar,16.0
plasmoid boss,4.0
plasmoid explorer,0.25
plasmoid warrior,3.0
platinum golem,16.0
play-by-play generator,1.0
plesiosaurus,2.0
podling,0.5
poison weird,4.0
poisonous snake,0.125
polar bear,2.0
pollenella the honeybee,0.0
poltergeist,2.0
polukranos,19.0
pony,0.125
portentia dran,3.0
portia dzuth,9.0
pow ming,6.0
precognitive mage,3.0
preeta kreepa,6.0
priest,2.0
priest of osybus,6.0
prince derendil,2.0
prince kirina,3.0
prince simbon,3.0
prince xeleth,8.0
princeps kovik,8.0
princess ebonmire,4.0
princess serissa,13.0
princess xedalli,8.0
prismari apprentice,2.0
prismari pledgemage,4.0
prismari professor of expression,7.0
prismari professor of perfection,7.0
prisoner 13,5.0
prisoner 237,1.0
prolix yusaf,1.0
prophetess dran,2.0
pseudodragon,0.25
psionic ashenwight,7.0
psionic shambling mound,5.0
psurlon,2.0
psurlon leader,6.0
psurlon ringer,1.0
psychic fragment,0.0
psychic fragment swarm,3.0
pterafolk,1.0
pteranodon,0.25
puppeteer parasite,3.0
purple worm,15.0
purple wormling,2.0
qawasha,2.0
quadrone,1.0
quadrone detention drone,1.0
quaggoth,2.0
quaggoth spore servant,1.0
quaggoth thonot,3.0
quandrix apprentice,2.0
quandrix pledgemage,4.0
quandrix professor of substance,7.0
quandrix professor of theory,7.0
quasit,1.0
quenthel baenre,22.0
quetzalcoatlus,2.0
quickling,1.0
quipper,0.0
qunbraxel,9.0
r04m,0.125
rabbithead,0.0
radiant idol,11.0
raegrin mau,0.125
raezil,1.0
raggadragga,4.0
raggnar redtooth,3.0
rahadin,10.0
rain,5.0
rak tulkhesh,28.0
rakdos,24.0
rakdos lampooner,2.0
"rakdos performer, blade juggler",1.0
"rakdos performer, fire eater",1.0
"rakdos performer, high-wire acrobat",1.0
rakshasa,13.0
ram sugar,2.0
ramius,14.0
ras nsi,7.0
rat,0.0
rath modar,6.0
ravager slaughter lord,9.0
ravager stabby-stabber,3.0
raven,0.0
raven uth vogler,0.5
razerblast,5.0
razorvine blight,1.0
reaper of bhaal,2.0
reaper spirit,
reckoner,4.0
red abishai,19.0
red dragon wyrmling,4.0
red greatwyrm,27.0
red guard drake,2.0
red ruin,10.0
red slaad,5.0
red wizard,6.0
redbrand ruffian,0.5
redcap,3.0
redtooth werefox,3.0
reduced-threat aboleth,10.0
reduced-threat basilisk,3.0
reduced-threat behir,11.0
reduced-threat beholder,13.0
reduced-threat black pudding,4.0
reduced-threat carrion crawler,2.0
reduced-threat clay golem,9.0
reduced-threat darkmantle,0.5
reduced-threat displacer beast,3.0
reduced-threat dragon turtle,17.0
reduced-threat ettercap,2.0
reduced-threat flesh golem,5.0
reduced-threat glabrezu,9.0
reduced-threat gray ooze,0.5
reduced-threat helmed horror,4.0
reduced-threat hezrou,8.0
reduced-threat hook horror,3.0
reduced-threat ochre jelly,2.0
reduced-threat otyugh,5.0
reduced-threat owlbear,3.0
reduced-threat peryton,2.0
reduced-threat remorhaz,11.0
reduced-threat stone golem,10.0
reduced-threat vrock,6.0
reduced-threat wight,3.0
reduced-threat wyvern,6.0
reef shark,0.5
reflection,0.5
refraction of ilvaash,15.0
regenerating black pudding,5.0
reghed chieftain,5.0
reghed great warrior,5.0
reghed shaman,2.0
reghed warrior,0.125
regisaur,14.0
reigar,8.0
reindeer,0.25
relentless juggernaut,12.0
relentless slasher,8.0
relic sloth,2.0
remallia haventree,9.0
remnant chosen,12.0
remnant cultist,7.0
remorhaz,11.0
renaer neverember,3.0
renwick,21.0
replica duodrone,0.25
replica monodrone,0.125
replica pentadrone,2.0
replica quadrone,1.0
replica tridrone,0.5
retriever,14.0
returned drifter,0.25
returned kakomantis,4.0
returned palamnite,4.0
returned sentry,1.0
revenant,5.0
rezmir,7.0
rhinoceros,2.0
rhundorth,0.125
rictavio,5.0
riding horse,0.25
riffler,5.0
rilago,4.0
rilsa rael,3.0
rime hulk,5.0
rimmon,20.0
ringlerun,5.0
rip tide priest,2.0
rishaal the page-turner,6.0
river mist,1.0
river serpent,2.0
riverine,12.0
rivermaw brawler,4.0
rivermaw stormborn,5.0
rivibiddel,0.5
roc,11.0
rock gnome recluse,0.25
ront,0.5
rool,8.0
rooster,0.0
roper,5.0
"rosavalda ""rose"" durst",3.0
rosie beestinger,3.0
rot troll,9.0
rothé,0.25
rotter,5.0
rowboat mimic,2.0
rubblebelt stalker,0.5
rug of smothering,2.0
ruidium elephant,8.0
ruin grinder,5.0
ruin spider,5.0
rumpadump,0.0
runara,13.0
runed behir,11.0
runic colossus,21.0
rust monster,0.5
rutterkin,2.0
ruxithid the chosen,5.0
rystia zav,1.0
saber-toothed tiger,2.0
sabrina kilgore (levels 1-4),0.125
sabrina kilgore (levels 5-8),0.5
sabrina kilgore (levels 9-11),3.0
sacred statue,
sacred stone monk,0.5
saemon havarian,10.0
